"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"log_lik[146]",-4.713180085625,-4.65481085,0.645682324101633,0.64575213801,-5.85701626,-3.760183465,1.0030711379685,910.907346998542,1601.13729353205
"log_lik[147]",-1.536135738625,-1.5282319,0.129559136061448,0.12739952148,-1.76356298,-1.336709185,1.00111136094782,1869.68653234372,2142.83654270733
"log_lik[148]",-0.96100111525,-0.957132025,0.0901410860275021,0.0838188725429999,-1.112406995,-0.820126465,1.00525588989497,825.80762029736,815.389233773525
"log_lik[149]",-0.887185578525,-0.89053267,0.0810721059852377,0.075319200873,-1.01128522,-0.7504212515,1.00272344740055,1756.99539629326,989.103328343529
"log_lik[150]",-0.91894162157,-0.916036005,0.0868728492706506,0.0820101894989999,-1.06332476,-0.78432155,1.00442279986003,980.388348101557,1185.17482599566
"log_lik[151]",-0.97425520746,-0.97024289,0.0911180019500557,0.084965923098,-1.12811065,-0.8331288915,1.00546559513769,794.852693367076,784.766324280186
"x_rep[1]",0.02445192705745,-0.043653132,1.03366077557534,0.9671718075222,-1.53298592,1.7977149,1.00012289886772,3988.04826358508,3913.42263311798
"x_rep[2]",0.0120426633948575,-0.042627761,1.01002440962876,0.949778008074,-1.51058992,1.750827925,1.00229394045929,3931.05338808341,3965.21737993652
"x_rep[3]",-0.00695947947824,-0.0205664385,1.01053379953264,0.940600558401,-1.617394695,1.682988165,1.00026058844449,4285.93188105607,3999.66888694762
"x_rep[4]",0.010345710619355,-0.0437831925,1.01075534798722,0.93858387399,-1.522129875,1.74855157,1.0000214776759,3902.93822231651,3839.94703699727
"x_rep[5]",0.0180224761283875,-0.0256111795,1.0195333150571,0.926954411481,-1.562355965,1.763675225,1.0004626041202,4104.03513234208,3912.73633306536
"x_rep[6]",0.0032735604581225,-0.048701472,1.01837158315347,0.9062563621692,-1.528760125,1.759440575,1.00123631723208,3852.27767905737,3724.99969460138
"x_rep[7]",0.00102710035975775,-0.035091868,1.01993626943953,0.943212425169,-1.61060221,1.706732115,1.00102758548769,3859.79823664487,3816.59019678162
"x_rep[8]",0.0195753836322625,-0.033126268,1.02613247604227,0.9431456073522,-1.53035814,1.787365895,1.00130285747073,4265.03961335691,3851.73010510162
"x_rep[9]",0.0050940466593345,-0.0486061575,1.03024742010114,0.9761539624515,-1.570680705,1.75750867,1.00006218420283,3979.54529822312,3938.90428214653
"x_rep[10]",0.0328086161432225,-0.0068691725,1.04184134375947,0.9486233554875,-1.62503521,1.80229662,0.99990621108251,3801.24166050866,3787.99853827838
"x_rep[11]",0.00771290955458,-0.0375287905,1.02675285188633,0.93936372159,-1.590704125,1.813614165,0.999677635233813,3920.96114922068,3957.21224543458
"x_rep[12]",0.0080284296731125,-0.070336378,1.05752314493559,0.977707301004,-1.61378575,1.836609055,1.00040325132475,4306.68588450609,3889.31993336245
"x_rep[13]",0.01968931596726,-0.0163937465,1.05299652132691,0.9799395354399,-1.575843085,1.80728585,0.999778422008126,3930.99562003492,3835.2914405708
"x_rep[14]",0.010644388179915,-0.038958151,1.03799021988067,0.9488583750156,-1.58798576,1.813041265,1.00008777787275,4089.53970744822,3926.05472681091
"x_rep[15]",0.0089271762179175,-0.0484695485,1.03366884163581,0.968379878928,-1.58720074,1.774815765,0.999798169606762,4129.32657503611,4014.03086855489
"x_rep[16]",0.0434011126561625,-0.00651393955,1.05050652526504,0.95216813785317,-1.548214825,1.84924793,1.00038145964873,3845.94899041821,4052.53741263621
"x_rep[17]",0.0256782482828575,-0.016424024,1.05435990022686,0.971115120255,-1.59324508,1.81802542,1.0004077629245,3950.43013784185,3371.13729121819
"x_rep[18]",-0.02548740237208,-0.080885175,1.01586813822472,0.931664928201,-1.58585452,1.68242106,0.999961131025933,4076.88401321903,3969.4633766742
"x_rep[19]",0.0282245830964375,-0.0286792885,1.05137002588854,0.924059227266,-1.57439556,1.840237665,0.99993964784171,3757.22274948395,3751.63549068819
"x_rep[20]",0.0036660688207875,-0.0311889405,1.04000676206264,0.959543493972,-1.5795835,1.791308835,1.00184871861093,4011.44505684036,3929.73644399853
"x_rep[21]",-0.0101895022701775,-0.062937634,1.03412457187458,0.9680917371006,-1.591416075,1.75657111,1.00054799089378,4217.74000609811,3970.43683066027
"x_rep[22]",0.0110777050491,-0.046715464,1.01936729738704,0.927118008978,-1.514595065,1.742497085,1.00106476905453,3848.97324405759,3997.4137962979
"x_rep[23]",0.00451752278584675,-0.041234462,1.04310486728593,0.9610952246448,-1.5954718,1.78516823,0.999953465755536,3982.93245554063,3954.54979772884
"x_rep[24]",0.002403022244375,-0.0487413745,1.03413864580538,0.9499364616903,-1.605525065,1.753820115,1.00005495983064,4047.29800899093,3669.3791112549
"x_rep[25]",0.0071137155747,-0.039554162,1.0181598908286,0.948542231322,-1.595780035,1.749779205,1.00095009706675,3940.52116148769,3677.11322496741
"x_rep[26]",0.0168125363625925,-0.00532054495,1.04499151648234,0.964424176107,-1.606921795,1.783980885,1.00074311185192,3764.03860799215,4016.11915575241
"x_rep[27]",0.0236493060081652,-0.0195606685,1.06184027392528,0.9630828434241,-1.573426015,1.82949966,0.99971458768982,4315.09943721929,4098.19416266156
"x_rep[28]",0.0136599740953475,-0.0396224985,1.0450310412754,0.979399718556,-1.56669073,1.832455505,0.999646688736709,4044.52169260557,3890.50184187767
"x_rep[29]",0.012185750236735,-0.0372581325,1.02743197851463,0.9334369206015,-1.584232275,1.760262765,1.00018644468665,4365.96942165082,3937.73752501648
"x_rep[30]",-0.02007389324448,-0.0534178355,1.04265289610117,0.9683125844553,-1.61969306,1.800454245,0.999679430271338,3889.14317616842,3775.15915643695
"x_rep[31]",0.0108140275518075,-0.040467364,1.0558218001651,0.9726952471656,-1.635541155,1.77848067,0.999841518730594,3854.03382530767,3686.85679410792
"x_rep[32]",-0.004861670831882,-0.037853661,1.036988986704,0.9712970367576,-1.62841287,1.714388415,0.9997755329724,3975.2456910337,3944.9279092678
"x_rep[33]",0.0321912777029425,0.00732773525,1.03573738071885,0.96479697624765,-1.610300715,1.78277685,1.00072580930031,4050.08455236238,3973.27013671124
"x_rep[34]",0.00287925793785,-0.0448767425,1.01793214166937,0.9280504198245,-1.593870075,1.75477331,0.999580232126069,3801.40857934084,3931.21483716544
"x_rep[35]",0.0192462361233275,-0.0249870225,1.0311812707019,0.9196767543285,-1.607826895,1.797192475,1.0005277922447,4287.94543373758,3794.80945271297
"x_rep[36]",-0.0266787958113725,-0.0768741965,1.04650033131397,0.9616501596009,-1.64324678,1.759614915,1.00070098472945,4057.51723789148,3714.70002184095
